Dataset,Method,IoU,F1,BF1@3,CD,HD,Params,FLOPs
GF6,U-Net,0.8355,0.8877,0.895,9.1526,82.5098,1.927,70.531
GF6,MobileNetV3-UNet,0.8564,0.9039,0.9307,5.5854,67.0287,3.054,8.165
GF6,DeepLabV3-MobileNet,0.7476,0.8086,0.8071,17.6319,106.9266,11.02,19.641
GF6,DeepLabV3-ResNet50,0.7976,0.8556,0.8794,12.2184,87.7633,39.634,327.117
GF6,TopoIWL-Net Full,0.8596,0.9064,0.9419,4.0779,59.3228,3.128,17.845
GF6,TopoIWL-Net-Lite,0.855,0.903,0.9345,5.4718,66.6377,1.014,9.552
GF6,TopoIWL-Net-PVTv2,0.8638,0.9085,0.9448,4.1368,57.3722,25.674,82.086
SeaLand,U-Net,0.9686,0.9828,0.5739,88.7093,310.715,1.927,70.531
SeaLand,MobileNetV3-UNet,0.9802,0.9893,0.6209,84.1778,301.6845,3.054,8.165
SeaLand,DeepLabV3-MobileNet,0.9812,0.9899,0.6059,85.6324,299.7484,11.02,19.641
SeaLand,DeepLabV3-ResNet50,0.9801,0.9892,0.6207,85.7572,302.8249,39.634,327.117
SeaLand,TopoIWL-Net Full,0.9802,0.9892,0.9078,4.3333,29.2245,3.128,17.845
SeaLand,TopoIWL-Net-Lite,0.9782,0.9882,0.9009,4.5193,30.8398,1.014,9.552
SeaLand,TopoIWL-Net-PVTv2,0.9811,0.9899,0.9134,3.756,26.1306,25.674,82.086
